id,name,title,given,family,alias,notes
betty-barnes,Betty Barnes,,Betty,Barnes,,Servant
laetitia-beaumont,Laetitia Beaumont,,Laetitia,Beaumont,,
john-belford,John Belford,,John,Belford,,A close friend and confidante of Mr. Lovelace
widow-bevis,Widow Bevis,Widow,,Bevis,,A lively widow in Hampstead
elias-brand,Elias Brand,,Elias,Brand,,A young clergyman
hannah-burton,Hannah Burton,,Hannah,Burton,,Servant of the Harlowe family
thomas-doleman,Thomas Doleman,,Thomas,Doleman,,"Libertine, gentleman, companion of Mr. Lovelace"
mrs-doleman,Mrs. Doleman,Mrs.,,Doleman,,
clarissa-harlowe,Clarissa Harlowe,,Clarissa,Harlowe,,"A young and virtuous woman, the protagonist of our novel"
arabella-harlowe,Arabella Harlowe,,Arabella,Harlowe,,Clarissa's older sister
john-harlowe,John Harlowe,,John,Harlowe,,Clarissa's uncle (her father's elder brother)
antony-harlowe,Antony Harlowe,,Antony,Harlowe,,Clarissa's uncle (her father's younger brother)
charlotte-harlowe,Mrs. Harlowe,Mrs.,Charlotte,Harlowe,,Clarissa's mother
james-harlowe-jr,James Harlowe Jr.,Mr.,James,Harlowe,,"Clarissa's brother, bitter enemy of Robert Lovelace"
james-harlowe-sr,James Harlowe Sr.,,James,Harlowe,,Clarissa's father
dorothy-hervey,Dorothy Hervey,Mrs.,Dorothy,Hervey,,Clarissa's aunt (Lady Charlotte Harlowe)'s half-sister
dolly-hervey,Dolly Hervey,,Dolly,Hervey,,Daughter of Dorothy Hervey
charles-hickman,Charles Hickman,,Charles,Hickman,,Miss Howe's suitor
sarah-hodges,Sarah Hodges,,Sarah,Hodges,,
polly-horton,Polly Horton,,Polly,Horton,,"Assistant of, and partner with, Mrs. Sinclair"
annabella-howe,Anabella Howe,,Annabella,Howe,,Clarissa's best friend and confidante
mrs-howe,Mrs. Howe,Mrs.,,Howe,,The mother of Miss Howe
elizabeth-lawrance,Elizabeth Lawrance,Lady,Elizabeth,Lawrance,Lady Betty Lawrance,"Half-sister of Lord M., widow, lady of honour and fortune"
joseph-leman,Joseph Leman,,Joseph,Leman,,Servant of the Harlowe family
arthur-lewen,Arthur Lewen,Rev. Dr.,Arthur,Lewen,,"One of Clarissa's educators, a divine of great piety and learning"
robert-lovelace,Robert Lovelace,,Robert,Lovelace,,The villain of the story and pursuer of Clarissa
mrs-lovick,Mrs. Lovlick,Mrs.,,Lovlick,,
harriot-lucas,Harriot Lucas,,Harriot,Lucas,,
sally-martin,Sally Martin,,Sally,Martin,,"Assistant of, and partner with, Mrs. Sinclair"
patrick-mcdonald,Patrick McDonald,,Patrick,McDonald,Captain Antony Tomlinson,
lord-montague,Lord Montague,Lord,,Montague,,Mr. Lovelace's uncle
charlotte-montague,Charlotte Montague,Lady,Charlotte,Montague,,"Niece of Lord M., maiden lady of character"
patty-montague,Patty Montague,,Patty,Montague,,"Niece of Lord M., maiden lady of character"
mrs-moore,Mrs. Moore,Mrs.,,Moore,,"A widowed gentlewoman, keeping a lodging-house at Hampstead"
mrs-rawlins,Mrs. Rawlins,Mrs.,,Rawlins,,A notable young gentlewoman in Hampstead
william-morden,William Morden,Colonel,William,Morden,,"A man of fortune, closely related to the Harlowe family"
richard-mowbray,Richard Mowbray,,Richard,Mowbray,,"Libertine, gentleman, companion of Mr. Lovelace"
judith-norton,Judith Norton,,Judith,Norton,,"Clarissa's nurse, an unhappy widow"
mrs-sinclair,Mrs. Sinclair,Mrs.,,Sinclair,,The pretended name of a private brothel keeper in London; pretends to be Lady Betty
mrs-smith,Mrs. Smith,Mrs.,,Smith,,
roger-solmes,Roger Solmes,,Roger,Solmes,,A wealthy man whom Clarissa's parents wish her to marry
william-summers,William Summers,,William,Summers,,Servant of the Harlowe family
john-walton,John Walton,,John,Walton,,
alex-wyerley,Alex Wyerley,,Alex,Wyerley,,
dorcas-wykes,Dorcas Wykes,,Dorcas,Wykes,,Servant
fj-de-la-tour,F. J. de la Tour,,F. J.,de la Tour,,
mr-diggs,Mr. Diggs,Mr.,,Diggs,,
mr-mennell,Mr. Mennell,Mr.,,Mennell,,
mrs-fretchville,Mrs. Fretchville,Mrs.,,Fretchville,,
thomas-belton,Thomas Belton,,Thomas,Belton,,"Libertine, gentleman, companion of Mr. Lovelace"
james-tourville,James Tourville,,James,Tourville,,"Libertine, gentleman, companion of Mr. Lovelace"
